UserId,Username,PasswordHash,Role
U001,admin1,535ce39ce4ff659ac706f4b4edb794cad22ff497d97230feb92124fd1d2ed492,admin
U002,admin2,14ff9093d5bacf53e2e8f666ee3ca4774f6c635ec9a9b33af90697071b436b42,admin
U003,GiangFaculty,535ce39ce4ff659ac706f4b4edb794cad22ff497d97230feb92124fd1d2ed492,faculty
U004,prof.johnson,$2a$11$p8qWPCKiNQ.uVMfIKg2.d.dLQuS3NkkheG3aFSQ4d5oyRNXQGDuWm,faculty
U005,prof.williams,1a1dc91c907325c69271ddf0c944bc72c07c190e6251bac29a5797f39b9c646f,faculty
U006,prof.brown,1a1dc91c907325c69271ddf0c944bc72c07c190e6251bac29a5797f39b9c646f,faculty
U007,prof.davis,1a1dc91c907325c69271ddf0c944bc72c07c190e6251bac29a5797f39b9c646f,faculty
U008,student.jones,535ce39ce4ff659ac706f4b4edb794cad22ff497d97230feb92124fd1d2ed492,student
U009,student.miller,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
U010,student.wilson,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
U011,student.moore,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
U012,student.taylor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
U013,student.anderson,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
U014,student.thomas,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
U015,student.jackson,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
U016,student.white,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
U017,student.harris,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,student
fef8c073,minh09102,$2a$11$H.2q3xfSOUnAOxSUmJ76bOBYh6AM3HSJS//IhQpRgPRbaZi7PuIGW,student
